Rank,Name,Team,Yr,Pos,G,Att,Comp,Pct.,Yards,Yards/Att,TD,Int,Rating,Att/G,Yards/G
1,Bailey Zappe,Western Ky,SR,QB,14,686,475,69.2,5967,8.7,62,11,168.92,49,426.2
2,Brennan Armstrong,Virginia,JR,QB,11,500,326,65.2,4449,8.9,31,10,156.4,45.5,404.5
3,C.J. Stroud,Ohio State,FR,QB,12,441,317,71.9,4435,10.1,44,6,186.56,36.8,369.6
4,Will Rogers,Miss St,SO,QB,13,683,505,73.9,4739,6.9,36,9,146.98,52.5,364.5
5,Carson Strong,Nevada,JR,QB,12,523,366,70,4175,8,36,8,156.69,43.6,347.9
6,Kenny Pickett,Pittsburgh,SR,QB,13,497,334,67.2,4319,8.7,42,7,165.27,38.2,332.2
7,Bryce Young,Alabama,SO,QB,15,547,366,66.9,4872,8.9,47,7,167.52,36.5,324.8
8,Jake Haener,Fresno St,SR,QB,13,490,329,67.1,4096,8.4,33,9,155.92,37.7,315.1
9,Aidan O'Connell,Purdue,SR,QB,12,439,315,71.8,3708,8.4,28,11,158.74,36.6,309
10,Tanner Mordecai,SMU,JR,QB,12,454,308,67.8,3628,8,39,12,158.02,37.8,302.3
11,Sam Hartman,Wk Forest,SO,QB,14,508,299,58.9,4228,8.3,39,14,148.59,36.3,302
11,Seth Henigan,Memphis,FR,QB,11,393,235,59.8,3322,8.5,25,8,147.73,35.7,302
13,Taulia Tagovailoa,Maryland,SO,QB,13,474,328,69.2,3860,8.1,26,11,151.06,36.5,296.9
14,Tyler Van Dyke,Miami (Fl),FR,QB,10,324,202,62.3,2931,9,25,6,160.1,32.4,293.1
15,Devin Leary,NC State,SO,QB,12,431,283,65.7,3433,8,35,5,157.05,35.9,286.1
16,Grant Wells,Marshall,FR,QB,13,444,295,66.4,3535,8,16,13,139.35,34.2,271.9
17,Brett Gabbert,Miami (Oh),SO,QB,10,299,178,59.5,2648,8.9,26,6,158.61,29.9,264.8
18,Grayson McCall,Coast Car,SO,QB,11,241,176,73,2873,11.9,27,3,207.65,21.9,261.2
