Rank,Name,Team,Yr,Pos,G,Att,Comp,Pct.,Yards,Yards/Att,TD,Int,Rating,Att/G,Yards/G
1,C.J. Stroud,Ohio State,FR,QB,12,441,317,71.9,4435,10.1,44,6,186.56,36.8,369.6
2,Aidan O'Connell,Purdue,SR,QB,12,439,315,71.8,3708,8.4,28,11,158.74,36.6,309
3,Taulia Tagovailoa,Maryland,SO,QB,13,474,328,69.2,3860,8.1,26,11,151.06,36.5,296.9
4,Adrian Martinez,Nebraska,JR,QB,11,306,189,61.8,2863,9.4,14,10,148.92,27.8,260.3
5,Payton Thorne,Mich St,SO,QB,13,389,235,60.4,3233,8.3,27,10,147.99,29.9,248.7
6,Sean Clifford,Penn State,SR,QB,13,428,261,61,3107,7.3,21,8,134.41,32.9,239
7,Cade McNamara,Michigan,JR,QB,14,327,210,64.2,2576,7.9,15,6,141.87,23.4,184
8,Tanner Morgan,Minnesota,SR,QB,13,250,149,59.6,2044,8.2,10,9,134.28,19.2,157.2
9,Spencer Petras,Iowa,JR,QB,12,288,165,57.3,1880,6.5,10,9,117.34,24,156.7
10,Graham Mertz,Wisconsin,SO,QB,13,284,169,59.5,1958,6.9,10,11,121.29,21.8,150.6
11,Noah Vedral,Rutgers,SR,QB,13,303,180,59.4,1813,6,7,7,112.67,23.3,139.5
12,Brandon Peters,Illinois,SR,QB,10,169,91,53.8,1170,6.9,7,4,120.94,16.9,117
13,Ryan Hilinski,N'western,SO,QB,9,176,95,54,978,5.6,3,4,101.74,19.6,108.7
14,J.J. McCarthy,Michigan,FR,QB,11,59,34,57.6,516,8.7,5,2,152.29,5.4,46.9
15,Donovan Edwards,Michigan,FR,RB,12,1,1,100,75,75,1,0,1060,0.1,6.3
16,Johnny Langan,Rutgers,JR,QB,13,9,6,66.7,68,7.6,1,0,166.81,0.7,5.2
17,Jahan Dotson,Penn State,SR,WR,12,2,2,100,43,21.5,0,0,280.6,0.2,3.6
18,Isaiah Washington,Rutgers,SO,WR,12,2,1,50,27,13.5,0,0,163.4,0.2,2.3
19,Tyler Hunt,Mich St,SR,TE,11,1,1,100,15,15,0,0,226,0.1,1.4
19,Jordan Stout,Penn State,SR,K,13,2,1,50,18,9,0,0,125.6,0.2,1.4
21,Tory Taylor,Iowa,SO,P,14,1,1,100,3,3,0,0,125.2,0.1,0.2
22,Isaih Pacheco,Rutgers,JR,RB,12,1,1,100,1,1,0,0,108.4,0.1,0.1
23,Casey Washington,Illinois,SO,WR,12,2,0,0,0,0,0,0,0,0.2,0
23,Isaiah Williams,Illinois,FR,WR,12,1,0,0,0,0,0,0,0,0.1,0
23,Nico Ragaini,Iowa,JR,WR,14,1,0,0,0,0,0,0,0,0.1,0
23,Gavin Williams,Iowa,FR,RB,13,1,0,0,0,0,0,0,0,0.1,0
23,Jackson Anthrop,Purdue,SR,WR,13,1,0,0,0,0,0,0,0,0.1,0
23,Kyle Monangai,Rutgers,FR,RB,11,1,0,0,0,0,0,0,0,0.1,0
23,Matt Alaimo,Rutgers,JR,TE,12,1,0,0,0,0,0,0,0,0.1,0
23,Jack Albers,Purdue,SO,QB,13,1,0,0,0,0,0,1,-200,0.1,0
